"","gene","human.homolog","ciona.name"
"4105","KY21:KY21.Chr11.403","FOXA1","Foxa.b"
"4106","KY21:KY21.Chr11.404","DHRS7",""
"4107","KY21:KY21.Chr11.405","HSD17B14 / DCXR",""
"4108","KY21:KY21.Chr11.406","DHRS4",""
"4109","KY21:KY21.Chr11.407","FMN1",""
"4110","KY21:KY21.Chr11.408","NIN",""
"4111","KY21:KY21.Chr11.409","ADRA1A",""
"4112","KY21:KY21.Chr11.41","MYH7 / MYH6","Myh.d"
"4113","KY21:KY21.Chr11.410","SEPTIN7",""
"4114","KY21:KY21.Chr11.411","MAML2 / WDR33",""
"4115","KY21:KY21.Chr11.412","MFNG","Fringe 3"
"4116","KY21:KY21.Chr11.413","CLEC7A / MAP2",""
"4117","KY21:KY21.Chr11.414","CETN3",""
"4118","KY21:KY21.Chr11.415","SAXO2",""
"4119","KY21:KY21.Chr11.416","OR8B8",""
"4120","KY21:KY21.Chr11.417","RCE1",""
"4121","KY21:KY21.Chr11.418","HMGCR",""
"4122","KY21:KY21.Chr11.419","WDR26",""
"4123","KY21:KY21.Chr11.42","CLCA1",""
"4124","KY21:KY21.Chr11.420","CNIH4",""
"4125","KY21:KY21.Chr11.421","DIMT1",""
"4126","KY21:KY21.Chr11.422","KY21:KY21.Chr11.422",""
"4127","KY21:KY21.Chr11.423","BDP1",""
"4128","KY21:KY21.Chr11.424","BDP1",""
"4129","KY21:KY21.Chr11.425","CLEC4E",""
"4130","KY21:KY21.Chr11.426","FGF6",""
"4131","KY21:KY21.Chr11.427","CFLAR",""
"4132","KY21:KY21.Chr11.428","ARHGAP5",""
"4133","KY21:KY21.Chr11.429","SORD",""
"4134","KY21:KY21.Chr11.43","MARCHF6",""
"4135","KY21:KY21.Chr11.430","CELSR1",""
"4136","KY21:KY21.Chr11.431","HAUS6",""
"4137","KY21:KY21.Chr11.432","CYP4V2",""
"4138","KY21:KY21.Chr11.433","TMED1",""
"4139","KY21:KY21.Chr11.434","RTL1",""
"4140","KY21:KY21.Chr11.435","NOP56",""
"4141","KY21:KY21.Chr11.436","INSR","insulinR"
"4142","KY21:KY21.Chr11.437","ESRP1",""
"4143","KY21:KY21.Chr11.438","CCDC113",""
"4144","KY21:KY21.Chr11.439","ESRRG","Esrr"
"4145","KY21:KY21.Chr11.44","CLCA1",""
"4146","KY21:KY21.Chr11.440","RTEL1",""
"4147","KY21:KY21.Chr11.441","GOLGA4",""
"4148","KY21:KY21.Chr11.442","TATDN3",""
"4149","KY21:KY21.Chr11.443","KSR2",""
"4150","KY21:KY21.Chr11.444","ZDHHC3",""
"4151","KY21:KY21.Chr11.445","LRP2",""
"4152","KY21:KY21.Chr11.446","RXFP2",""
"4153","KY21:KY21.Chr11.447","LRP2",""
"4154","KY21:KY21.Chr11.448","TNC",""
"4155","KY21:KY21.Chr11.449","STXBP5",""
"4156","KY21:KY21.Chr11.45","FLT3",""
"4157","KY21:KY21.Chr11.450","LRP2",""
"4158","KY21:KY21.Chr11.451","HERC1",""
"4159","KY21:KY21.Chr11.452","KY21:KY21.Chr11.452",""
"4160","KY21:KY21.Chr11.453","SVEP1",""
"4161","KY21:KY21.Chr11.454","UNC93A",""
"4162","KY21:KY21.Chr11.455","TOGARAM2",""
"4163","KY21:KY21.Chr11.456","CPN2",""
"4164","KY21:KY21.Chr11.457","CLDN19",""
"4165","KY21:KY21.Chr11.458","TBX2","Tbx6-r.a"
"4166","KY21:KY21.Chr11.459","HERC2",""
"4167","KY21:KY21.Chr11.46","ADCY2",""
"4168","KY21:KY21.Chr11.460","APEX1",""
"4169","KY21:KY21.Chr11.461","CSDE1",""
"4170","KY21:KY21.Chr11.462","ZFY",""
"4171","KY21:KY21.Chr11.463","YME1L1",""
"4172","KY21:KY21.Chr11.464","LRRC59",""
"4173","KY21:KY21.Chr11.465","TBX6","Tbx6-r.d"
"4174","KY21:KY21.Chr11.466","TBX6","Tbx6-r.c"
"4175","KY21:KY21.Chr11.467","TBX6","Tbx6-r.b"
"4176","KY21:KY21.Chr11.468","CYB5D2",""
"4177","KY21:KY21.Chr11.469","STAG2",""
"4178","KY21:KY21.Chr11.47","SVEP1",""
"4179","KY21:KY21.Chr11.470","SRP9",""
"4180","KY21:KY21.Chr11.471","EVL",""
"4181","KY21:KY21.Chr11.472","MUC2 / PKD2L2",""
"4182","KY21:KY21.Chr11.473","TNNI1","Tnni"
"4183","KY21:KY21.Chr11.474","MLXIP","Mlx"
"4184","KY21:KY21.Chr11.475","FCN1 / CNTNAP2",""
"4185","KY21:KY21.Chr11.476","KCNJ5",""
"4186","KY21:KY21.Chr11.477","CCDC88A",""
"4187","KY21:KY21.Chr11.478","SMOC1",""
"4188","KY21:KY21.Chr11.479","EI24",""
"4189","KY21:KY21.Chr11.48","CUBN",""
"4190","KY21:KY21.Chr11.480","NXPE3",""
"4191","KY21:KY21.Chr11.481","RYR3",""
"4192","KY21:KY21.Chr11.482","FBXO16",""
"4193","KY21:KY21.Chr11.483","KCNE5",""
"4194","KY21:KY21.Chr11.484","PHF12",""
"4195","KY21:KY21.Chr11.485","ANKRD28",""
"4196","KY21:KY21.Chr11.486","SLC6A11",""
"4197","KY21:KY21.Chr11.487","RERG",""
"4198","KY21:KY21.Chr11.488","FANCM",""
"4199","KY21:KY21.Chr11.489","OR9A2",""
"4200","KY21:KY21.Chr11.49","HMCN1",""
"4201","KY21:KY21.Chr11.490","ZNF836","Ci-ZF165"
"4202","KY21:KY21.Chr11.491","CNTNAP1",""
"4203","KY21:KY21.Chr11.492","PPP6C",""
"4204","KY21:KY21.Chr11.493","RNASEH1",""
"4205","KY21:KY21.Chr11.494","KY21:KY21.Chr11.494",""
"4206","KY21:KY21.Chr11.495","TSNAXIP1 / KIF1A",""
"4207","KY21:KY21.Chr11.496","SYNE1",""
"4208","KY21:KY21.Chr11.497","CAMSAP1 / MIA2",""
"4209","KY21:KY21.Chr11.498","HECTD1",""
"4210","KY21:KY21.Chr11.499","RIMS2",""
"4211","KY21:KY21.Chr11.5","MYO5A",""
"4212","KY21:KY21.Chr11.50","DNAH8",""
"4213","KY21:KY21.Chr11.500","TRMT61A",""
"4214","KY21:KY21.Chr11.501","NPAS4",""
"4215","KY21:KY21.Chr11.502","ADGRD1",""
"4216","KY21:KY21.Chr11.503","OGFR",""
"4217","KY21:KY21.Chr11.504","KY21:KY21.Chr11.504",""
"4218","KY21:KY21.Chr11.505","GPHN",""
"4219","KY21:KY21.Chr11.506","BMP10",""
"4220","KY21:KY21.Chr11.507","NEDD1",""
"4221","KY21:KY21.Chr11.508","FMN1",""
"4222","KY21:KY21.Chr11.509","XPO1",""
"4223","KY21:KY21.Chr11.51","HMCN1",""
"4224","KY21:KY21.Chr11.510","DRAM2",""
"4225","KY21:KY21.Chr11.511","ABCC11",""
"4226","KY21:KY21.Chr11.512","TULP3",""
"4227","KY21:KY21.Chr11.513","STEAP1",""
"4228","KY21:KY21.Chr11.514","TIMM50",""
"4229","KY21:KY21.Chr11.515","GPR179",""
"4230","KY21:KY21.Chr11.516","ZRANB2",""
"4231","KY21:KY21.Chr11.517","TEX10",""
"4232","KY21:KY21.Chr11.518","SPEF1",""
"4233","KY21:KY21.Chr11.519","GAB1",""
"4234","KY21:KY21.Chr11.52","HMCN1",""
"4235","KY21:KY21.Chr11.520","ARFIP1",""
"4236","KY21:KY21.Chr11.521","COLEC10",""
"4237","KY21:KY21.Chr11.522","COLEC11",""
"4238","KY21:KY21.Chr11.523","SLC29A1",""
"4239","KY21:KY21.Chr11.524","TLR6",""
"4240","KY21:KY21.Chr11.525","ADAMTS20",""
"4241","KY21:KY21.Chr11.526","ST18",""
"4242","KY21:KY21.Chr11.527","PRX",""
"4243","KY21:KY21.Chr11.528","SMN2",""
"4244","KY21:KY21.Chr11.529","IZUMO1",""
"4245","KY21:KY21.Chr11.53","HMCN1",""
"4246","KY21:KY21.Chr11.530","MAPK6","Mapk4/6"
"4247","KY21:KY21.Chr11.531","AK9",""
"4248","KY21:KY21.Chr11.532","CCDC3",""
"4249","KY21:KY21.Chr11.533","A4GALT",""
"4250","KY21:KY21.Chr11.534","METTL24",""
"4251","KY21:KY21.Chr11.535","UBAP1",""
"4252","KY21:KY21.Chr11.536","GLMN",""
"4253","KY21:KY21.Chr11.537","SVEP1",""
"4254","KY21:KY21.Chr11.538","NVL",""
"4255","KY21:KY21.Chr11.539","PTF1A","Ptf1a-r"
"4256","KY21:KY21.Chr11.54","HMCN1",""
"4257","KY21:KY21.Chr11.540","TTI2",""
"4258","KY21:KY21.Chr11.541","PI4KA",""
"4259","KY21:KY21.Chr11.542","QPCT",""
"4260","KY21:KY21.Chr11.543","INTS3",""
"4261","KY21:KY21.Chr11.544","B4GALT1",""
"4262","KY21:KY21.Chr11.545","CALHM2",""
"4263","KY21:KY21.Chr11.546","GLIPR1",""
"4264","KY21:KY21.Chr11.547","MRPS18C",""
"4265","KY21:KY21.Chr11.548","C1QBP",""
"4266","KY21:KY21.Chr11.549","ANKRD66",""
"4267","KY21:KY21.Chr11.55","EPN2",""
"4268","KY21:KY21.Chr11.550","VPS13A",""
"4269","KY21:KY21.Chr11.551","SPNS1",""
"4270","KY21:KY21.Chr11.552","ZMAT5","Ci-ZF310"
"4271","KY21:KY21.Chr11.553","GTDC1",""
"4272","KY21:KY21.Chr11.554","SNW1",""
"4273","KY21:KY21.Chr11.555","TPCN1",""
"4274","KY21:KY21.Chr11.556","LIPJ",""
"4275","KY21:KY21.Chr11.557","SLC6A5",""
"4276","KY21:KY21.Chr11.558","CCNL1",""
"4277","KY21:KY21.Chr11.559","LIG3",""
"4278","KY21:KY21.Chr11.56","IQCK",""
"4279","KY21:KY21.Chr11.560","ADGRG7",""
"4280","KY21:KY21.Chr11.561","ADGRL2",""
"4281","KY21:KY21.Chr11.562","GBF1",""
"4282","KY21:KY21.Chr11.563","CPLANE2",""
"4283","KY21:KY21.Chr11.564","PMF1",""
"4284","KY21:KY21.Chr11.565","GAL3ST3",""
"4285","KY21:KY21.Chr11.566","HMCN1",""
"4286","KY21:KY21.Chr11.567","MYH6",""
"4287","KY21:KY21.Chr11.568","ATP2A2",""
"4288","KY21:KY21.Chr11.569","ACSF2",""
"4289","KY21:KY21.Chr11.57","BPTF",""
"4290","KY21:KY21.Chr11.570","ATP2A1",""
"4291","KY21:KY21.Chr11.571","GSTT2B",""
"4292","KY21:KY21.Chr11.572","GSTT2B",""
"4293","KY21:KY21.Chr11.573","ATP2A1",""
"4294","KY21:KY21.Chr11.574","PECR",""
"4295","KY21:KY21.Chr11.575","PIN4",""
"4296","KY21:KY21.Chr11.576","ERVK-11",""
"4297","KY21:KY21.Chr11.577","RTL1",""
"4298","KY21:KY21.Chr11.578","M1AP",""
"4299","KY21:KY21.Chr11.579","TNFRSF21 / CRYBG2",""
"4300","KY21:KY21.Chr11.58","AIMP2",""
"4301","KY21:KY21.Chr11.580","FAM162A",""
"4302","KY21:KY21.Chr11.581","KIDINS220",""
"4303","KY21:KY21.Chr11.582","NKPD1",""
"4304","KY21:KY21.Chr11.583","SELP",""
"4305","KY21:KY21.Chr11.584","PRDM15",""
"4306","KY21:KY21.Chr11.585","ZCCHC14",""
"4307","KY21:KY21.Chr11.586","NYNRIN",""
"4308","KY21:KY21.Chr11.587","TMED2",""
"4309","KY21:KY21.Chr11.588","GLOD4",""
"4310","KY21:KY21.Chr11.589","AARS2",""
"4311","KY21:KY21.Chr11.59","PLEKHA8",""
"4312","KY21:KY21.Chr11.590","STEEP1",""
"4313","KY21:KY21.Chr11.591","EMC6",""
"4314","KY21:KY21.Chr11.592","DCDC1",""
"4315","KY21:KY21.Chr11.593","NLRX1",""
"4316","KY21:KY21.Chr11.594","LRRC75A",""
"4317","KY21:KY21.Chr11.595","PRMT1",""
"4318","KY21:KY21.Chr11.596","ALDH7A1",""
"4319","KY21:KY21.Chr11.597","DENR",""
"4320","KY21:KY21.Chr11.598","STYX",""
"4321","KY21:KY21.Chr11.599","RSPH9",""
"4322","KY21:KY21.Chr11.6","LIMK1 / CMC2",""
"4323","KY21:KY21.Chr11.60","TXN",""
"4324","KY21:KY21.Chr11.600","EPRS1",""
"4325","KY21:KY21.Chr11.601","TMEM260",""
"4326","KY21:KY21.Chr11.602","UGP2",""
"4327","KY21:KY21.Chr11.603","TMEM260",""
"4328","KY21:KY21.Chr11.604","ARG2",""
"4329","KY21:KY21.Chr11.605","TSPAN17",""
"4330","KY21:KY21.Chr11.606","C6orf58",""
"4331","KY21:KY21.Chr11.607","CD63",""
"4332","KY21:KY21.Chr11.608","ARF3",""
"4333","KY21:KY21.Chr11.609","UBC",""
"4334","KY21:KY21.Chr11.61","MAP2K7",""
"4335","KY21:KY21.Chr11.610","CKAP5",""
"4336","KY21:KY21.Chr11.611","CNBD1",""
"4337","KY21:KY21.Chr11.612","C22orf15",""
"4338","KY21:KY21.Chr11.613","ARL6IP4",""
"4339","KY21:KY21.Chr11.614","RAB5IF",""
"4340","KY21:KY21.Chr11.615","TBC1D10B",""
"4341","KY21:KY21.Chr11.616","METTL27",""
"4342","KY21:KY21.Chr11.617","NYNRIN",""
"4343","KY21:KY21.Chr11.618","NYNRIN",""
"4344","KY21:KY21.Chr11.619","SLC22A3",""
"4345","KY21:KY21.Chr11.62","SLC35D3",""
"4346","KY21:KY21.Chr11.620","SORL1",""
"4347","KY21:KY21.Chr11.621","METTL27",""
"4348","KY21:KY21.Chr11.622","METTL27",""
"4349","KY21:KY21.Chr11.623","CYP2A13 / CYP2J2",""
"4350","KY21:KY21.Chr11.624","TMEM198",""
"4351","KY21:KY21.Chr11.625","CYGB",""
"4352","KY21:KY21.Chr11.626","CYGB",""
"4353","KY21:KY21.Chr11.627","TMEM238",""
"4354","KY21:KY21.Chr11.628","LGR5",""
"4355","KY21:KY21.Chr11.629","FSTL5",""
"4356","KY21:KY21.Chr11.63","MOB1A",""
"4357","KY21:KY21.Chr11.630","DCBLD2",""
"4358","KY21:KY21.Chr11.631","IMPACT",""
"4359","KY21:KY21.Chr11.632","MRM2",""
"4360","KY21:KY21.Chr11.633","TMPPE",""
"4361","KY21:KY21.Chr11.634","GATM",""
"4362","KY21:KY21.Chr11.635","B4GALT6",""
"4363","KY21:KY21.Chr11.636","TUBB4B",""
"4364","KY21:KY21.Chr11.637","TUBB4B",""
"4365","KY21:KY21.Chr11.638","DNAAF10",""
"4366","KY21:KY21.Chr11.639","ISG15",""
"4367","KY21:KY21.Chr11.64","STARD6",""
"4368","KY21:KY21.Chr11.640","SLC16A7",""
"4369","KY21:KY21.Chr11.641","PLA2R1",""
"4370","KY21:KY21.Chr11.642","TMEM220",""
"4371","KY21:KY21.Chr11.643","CNTN1",""
"4372","KY21:KY21.Chr11.644","TRAV13-1",""
"4373","KY21:KY21.Chr11.645","TESPA1",""
"4374","KY21:KY21.Chr11.646","SLC43A3",""
"4375","KY21:KY21.Chr11.647","P4HB",""
"4376","KY21:KY21.Chr11.648","AP4M1",""
"4377","KY21:KY21.Chr11.649","WWP2",""
"4378","KY21:KY21.Chr11.65","GNG10",""
"4379","KY21:KY21.Chr11.650","SPATC1L",""
"4380","KY21:KY21.Chr11.651","C16orf72",""
"4381","KY21:KY21.Chr11.652","NPLOC4",""
"4382","KY21:KY21.Chr11.653","SDR42E1",""
"4383","KY21:KY21.Chr11.654","GAS7",""
"4384","KY21:KY21.Chr11.655","XPC",""
"4385","KY21:KY21.Chr11.656","TTC36",""
"4386","KY21:KY21.Chr11.657","THAP10",""
"4387","KY21:KY21.Chr11.658","CABLES1",""
"4388","KY21:KY21.Chr11.659","OVCH1",""
"4389","KY21:KY21.Chr11.66","GNG5",""
"4390","KY21:KY21.Chr11.660","MUC6",""
"4391","KY21:KY21.Chr11.661","PRKAR1B",""
"4392","KY21:KY21.Chr11.662","RPL13",""
"4393","KY21:KY21.Chr11.663","CDC42BPG",""
"4394","KY21:KY21.Chr11.664","KIAA1191",""
"4395","KY21:KY21.Chr11.665","GRIN2A",""
"4396","KY21:KY21.Chr11.666","ZNF624","Ci-ZF110"
"4397","KY21:KY21.Chr11.667","ATP13A3",""
"4398","KY21:KY21.Chr11.668","ITLN2",""
"4399","KY21:KY21.Chr11.669","ERBB2",""
"4400","KY21:KY21.Chr11.67","MRPL53",""
"4401","KY21:KY21.Chr11.670","DHRS4",""
"4402","KY21:KY21.Chr11.671","ERBB2",""
"4403","KY21:KY21.Chr11.672","TCTN1",""
"4404","KY21:KY21.Chr11.673","EIF4ENIF1",""
"4405","KY21:KY21.Chr11.674","CTNND2",""
"4406","KY21:KY21.Chr11.675","ASPDH",""
"4407","KY21:KY21.Chr11.676","NPAS3","Trh"
"4408","KY21:KY21.Chr11.677","PLCH1",""
"4409","KY21:KY21.Chr11.678","SOX9","Sox8/9/10"
"4410","KY21:KY21.Chr11.679","ZGPAT",""
"4411","KY21:KY21.Chr11.68","STARD5",""
"4412","KY21:KY21.Chr11.680","GNAQ",""
"4413","KY21:KY21.Chr11.681","PTGR1",""
"4414","KY21:KY21.Chr11.682","ELAPOR1",""
"4415","KY21:KY21.Chr11.683","PAX6",""
"4416","KY21:KY21.Chr11.684","SYNJ1",""
"4417","KY21:KY21.Chr11.685","USH2A",""
"4418","KY21:KY21.Chr11.686","H3C13",""
"4419","KY21:KY21.Chr11.687","ACTB",""
"4420","KY21:KY21.Chr11.688","H3C13",""
"4421","KY21:KY21.Chr11.689","ACTG1",""
"4422","KY21:KY21.Chr11.69","IP6K1",""
"4423","KY21:KY21.Chr11.690","ACTG1",""
"4424","KY21:KY21.Chr11.691","ACTB",""
"4425","KY21:KY21.Chr11.692","ACTB",""
"4426","KY21:KY21.Chr11.693","ACTB",""
"4427","KY21:KY21.Chr11.694","ACTG1",""
"4428","KY21:KY21.Chr11.695","CYP4F22",""
"4429","KY21:KY21.Chr11.696","HAUS1",""
"4430","KY21:KY21.Chr11.697","ZFP36L1","Ci-ZF114"
"4431","KY21:KY21.Chr11.698","TTBK2",""
"4432","KY21:KY21.Chr11.699","ACBD3",""
"4433","KY21:KY21.Chr11.7","CDYL2 / CDYL",""
"4434","KY21:KY21.Chr11.70","GABRR2",""
"4435","KY21:KY21.Chr11.700","SLC30A7",""
"4436","KY21:KY21.Chr11.701","H1-0",""
"4437","KY21:KY21.Chr11.702","VAPB",""
"4438","KY21:KY21.Chr11.703","B4GAT1",""
"4439","KY21:KY21.Chr11.704","OVCH2",""
"4440","KY21:KY21.Chr11.705","SORL1",""
"4441","KY21:KY21.Chr11.706","PLB1",""
"4442","KY21:KY21.Chr11.707","CSMD2",""
"4443","KY21:KY21.Chr11.708","SAMD4B",""
"4444","KY21:KY21.Chr11.709","LIPT1",""
"4445","KY21:KY21.Chr11.71","TCF15","Tcf15-r"
"4446","KY21:KY21.Chr11.710","C6",""
"4447","KY21:KY21.Chr11.711","C6",""
"4448","KY21:KY21.Chr11.712","C6 / C7",""
"4449","KY21:KY21.Chr11.713","C8B",""
"4450","KY21:KY21.Chr11.714","C6",""
"4451","KY21:KY21.Chr11.715","RBM4",""
"4452","KY21:KY21.Chr11.716","WDR64",""
"4453","KY21:KY21.Chr11.717","WDR64",""
"4454","KY21:KY21.Chr11.718","SORL1",""
"4455","KY21:KY21.Chr11.719","USH2A",""
"4456","KY21:KY21.Chr11.72","GALNT6",""
"4457","KY21:KY21.Chr11.720","MED6",""
"4458","KY21:KY21.Chr11.721","COX18",""
"4459","KY21:KY21.Chr11.722","PSMA7",""
"4460","KY21:KY21.Chr11.723","TMEM167A",""
"4461","KY21:KY21.Chr11.724","TTPAL",""
"4462","KY21:KY21.Chr11.725","SEC14L1",""
"4463","KY21:KY21.Chr11.726","CPNE1",""
"4464","KY21:KY21.Chr11.727","SRD5A1",""
"4465","KY21:KY21.Chr11.728","MID2",""
"4466","KY21:KY21.Chr11.729","SLC7A9",""
"4467","KY21:KY21.Chr11.73","TNFAIP2",""
"4468","KY21:KY21.Chr11.730","TBC1D5",""
"4469","KY21:KY21.Chr11.731","DMRTA1",""
"4470","KY21:KY21.Chr11.732","LRP6","LRP5/6"
"4471","KY21:KY21.Chr11.733","SPTY2D1",""
"4472","KY21:KY21.Chr11.734","PTS",""
"4473","KY21:KY21.Chr11.735","HARBI1",""
"4474","KY21:KY21.Chr11.736","ZKSCAN8",""
"4475","KY21:KY21.Chr11.737","MED13",""
"4476","KY21:KY21.Chr11.738","TAL1",""
"4477","KY21:KY21.Chr11.739","MRPL39",""
"4478","KY21:KY21.Chr11.74","PEX13",""
"4479","KY21:KY21.Chr11.740","ZBTB44",""
"4480","KY21:KY21.Chr11.741","ERICH5",""
"4481","KY21:KY21.Chr11.742","PSMD11",""
"4482","KY21:KY21.Chr11.743","ANKS3",""
"4483","KY21:KY21.Chr11.744","SLC16A14",""
"4484","KY21:KY21.Chr11.745","CCT3",""
"4485","KY21:KY21.Chr11.746","PPP4C",""
"4486","KY21:KY21.Chr11.747","SMTN",""
"4487","KY21:KY21.Chr11.748","TCHHL1",""
"4488","KY21:KY21.Chr11.749","JMJD7",""
"4489","KY21:KY21.Chr11.75","PDCL2",""
"4490","KY21:KY21.Chr11.750","ESPL1",""
"4491","KY21:KY21.Chr11.751","KY21:KY21.Chr11.751",""
"4492","KY21:KY21.Chr11.752","SNAP25",""
"4493","KY21:KY21.Chr11.753","SLC46A1",""
"4494","KY21:KY21.Chr11.754","FKBP4",""
"4495","KY21:KY21.Chr11.755","NLRP11",""
"4496","KY21:KY21.Chr11.756","SLC9B2",""
"4497","KY21:KY21.Chr11.757","GYS1",""
"4498","KY21:KY21.Chr11.758","MRI1",""
"4499","KY21:KY21.Chr11.759","HDHD2",""
"4500","KY21:KY21.Chr11.76","IFITM5",""
"4501","KY21:KY21.Chr11.760","GALNT17",""
"4502","KY21:KY21.Chr11.761","SYNJ2BP",""
"4503","KY21:KY21.Chr11.762","NCBP3",""
"4504","KY21:KY21.Chr11.763","RXFP2",""
"4505","KY21:KY21.Chr11.764","KCNH7",""
"4506","KY21:KY21.Chr11.765","KCNH1",""
"4507","KY21:KY21.Chr11.766","MYO18A",""
"4508","KY21:KY21.Chr11.767","KIR2DS2",""
"4509","KY21:KY21.Chr11.768","ZDHHC17","Ci-ZF157"
"4510","KY21:KY21.Chr11.769","TTC8",""
"4511","KY21:KY21.Chr11.77","HIBADH",""
"4512","KY21:KY21.Chr11.770","DHRS7B",""
"4513","KY21:KY21.Chr11.771","CD63",""
"4514","KY21:KY21.Chr11.772","TCHP",""
"4515","KY21:KY21.Chr11.773","MYH7","Myh.f"
"4516","KY21:KY21.Chr11.774","NAA30",""
"4517","KY21:KY21.Chr11.775","SGK2",""
"4518","KY21:KY21.Chr11.776","TMPRSS11A",""
"4519","KY21:KY21.Chr11.777","EP400",""
"4520","KY21:KY21.Chr11.778","NAA30",""
"4521","KY21:KY21.Chr11.779","GBX2",""
"4522","KY21:KY21.Chr11.78","EIF3A",""
"4523","KY21:KY21.Chr11.780","ZNF302",""
"4524","KY21:KY21.Chr11.781","CYP2A13",""
"4525","KY21:KY21.Chr11.782","IL17C",""
"4526","KY21:KY21.Chr11.783","TRPM2",""
"4527","KY21:KY21.Chr11.784","RXFP1",""
"4528","KY21:KY21.Chr11.785","FUT8",""
"4529","KY21:KY21.Chr11.786","AP2B1 / AP1B1",""
"4530","KY21:KY21.Chr11.787","MADCAM1",""
"4531","KY21:KY21.Chr11.788","STAB2",""
"4532","KY21:KY21.Chr11.789","MAP4K4",""
"4533","KY21:KY21.Chr11.79","RPRM",""
"4534","KY21:KY21.Chr11.790","LRP2",""
"4535","KY21:KY21.Chr11.791","PTK7",""
"4536","KY21:KY21.Chr11.792","LYST",""
"4537","KY21:KY21.Chr11.793","LSM3",""
"4538","KY21:KY21.Chr11.794","MRPS18A",""
"4539","KY21:KY21.Chr11.795","SUB1",""
"4540","KY21:KY21.Chr11.796","C19orf12",""
"4541","KY21:KY21.Chr11.797","FAM174C",""
"4542","KY21:KY21.Chr11.798","METTL24",""
"4543","KY21:KY21.Chr11.799","KIF20A",""
"4544","KY21:KY21.Chr11.8","SNX8",""
"4545","KY21:KY21.Chr11.80","DUT",""
"4546","KY21:KY21.Chr11.800","RLBP1",""
"4547","KY21:KY21.Chr11.801","MLEC",""
"4548","KY21:KY21.Chr11.802","ITLN1",""
"4549","KY21:KY21.Chr11.803","LRP11",""
"4550","KY21:KY21.Chr11.804","TSPAN18",""
"4551","KY21:KY21.Chr11.805","TMPRSS6",""
"4552","KY21:KY21.Chr11.806","STRN3 / STRN",""
"4553","KY21:KY21.Chr11.807","CYP2J2",""
"4554","KY21:KY21.Chr11.808","ANO3",""
"4555","KY21:KY21.Chr11.809","KY21:KY21.Chr11.809",""
"4556","KY21:KY21.Chr11.81","JOSD1",""
"4557","KY21:KY21.Chr11.810","NXPE3 / NXPE2",""
"4558","KY21:KY21.Chr11.811","COQ8A",""
"4559","KY21:KY21.Chr11.812","SPATA5",""
"4560","KY21:KY21.Chr11.813","PTX4",""
"4561","KY21:KY21.Chr11.814","CYP2A13",""
"4562","KY21:KY21.Chr11.815","GIN1",""
"4563","KY21:KY21.Chr11.816","CYP2A13",""
"4564","KY21:KY21.Chr11.817","KCNN4",""
"4565","KY21:KY21.Chr11.818","CYP2A13 / CYP2J2",""
"4566","KY21:KY21.Chr11.819","EPDR1",""
"4567","KY21:KY21.Chr11.82","AKAP2",""
"4568","KY21:KY21.Chr11.820","EPDR1",""
"4569","KY21:KY21.Chr11.821","DPY30",""
"4570","KY21:KY21.Chr11.822","BSCL2",""
"4571","KY21:KY21.Chr11.823","NOVA2",""
"4572","KY21:KY21.Chr11.824","RPS5",""
"4573","KY21:KY21.Chr11.825","CYP3A43",""
"4574","KY21:KY21.Chr11.826","STUM",""
"4575","KY21:KY21.Chr11.827","CCSAP",""
"4576","KY21:KY21.Chr11.828","PAPOLG",""
"4577","KY21:KY21.Chr11.829","NOB1",""
"4578","KY21:KY21.Chr11.83","LINGO2",""
"4579","KY21:KY21.Chr11.830","SLC39A1",""
"4580","KY21:KY21.Chr11.831","WDR25",""
"4581","KY21:KY21.Chr11.832","PEX13",""
"4582","KY21:KY21.Chr11.833","VPS45",""
"4583","KY21:KY21.Chr11.834","KY21:KY21.Chr11.834",""
"4584","KY21:KY21.Chr11.835","FKBP2",""
"4585","KY21:KY21.Chr11.836","ELOVL4",""
"4586","KY21:KY21.Chr11.837","TPGS1",""
"4587","KY21:KY21.Chr11.838","DNAH14",""
"4588","KY21:KY21.Chr11.839","BUB1B",""
"4589","KY21:KY21.Chr11.84","PRDM4","Ci-ZF087"
"4590","KY21:KY21.Chr11.840","AIFM2",""
"4591","KY21:KY21.Chr11.841","C20orf96",""
"4592","KY21:KY21.Chr11.842","HK1",""
"4593","KY21:KY21.Chr11.843","TMEM184C",""
"4594","KY21:KY21.Chr11.844","GSKIP",""
"4595","KY21:KY21.Chr11.845","PLEKHA2",""
"4596","KY21:KY21.Chr11.846","KIAA1109",""
"4597","KY21:KY21.Chr11.847","NXPE4",""
"4598","KY21:KY21.Chr11.848","PARP1",""
"4599","KY21:KY21.Chr11.849","RHOU",""
"4600","KY21:KY21.Chr11.85","CENPT",""
"4601","KY21:KY21.Chr11.850","CACHD1",""
"4602","KY21:KY21.Chr11.851","SLC17A5",""
"4603","KY21:KY21.Chr11.852","SLC20A1",""
"4604","KY21:KY21.Chr11.853","IPO8",""
"4605","KY21:KY21.Chr11.854","STAB2",""
"4606","KY21:KY21.Chr11.855","CCDC6",""
"4607","KY21:KY21.Chr11.856","FAM177A1",""
"4608","KY21:KY21.Chr11.857","SLC38A10",""
"4609","KY21:KY21.Chr11.858","RIPK1",""
"4610","KY21:KY21.Chr11.859","FBXO38",""
"4611","KY21:KY21.Chr11.86","PEPD",""
